,ISBN,store_name,gender_of_owner,2010_revenue_till_june,2011_revenue_till_june,2012_revenue_till_june,2013_revenue_till_june,2014_revenue_till_june,2015_revenue_till_june,2016_revenue_till_june,2017_revenue_till_june,2018_revenue_till_june,2019_revenue_till_june,2020_revenue_till_june,zip_codes
48,224239569-6,"McLaughlin, Konopelski and Zulauf",Female,58150,66618,71683,79839,87491,95382,100717,115308,128397,139160,70434,94124
49,340556624-X,Jacobs-Franecki,Male,156685,170134,181117,193547,211389,228854,241600,254715,271306,281690,155829,94578
50,904414954-7,Bins-Fisher,Female,104948,115182,127111,140412,152662,167327,179145,194777,210664,221545,121372,94568
51,257735362-6,Effertz LLC,Female,172576,186819,205536,224817,241660,259619,269775,286202,302887,319329,176200,94565
52,307337428-0,Jacobs and Sons,Female,138152,148649,163035,179212,196976,207541,226098,239933,254484,267636,160173,94538
53,183792125-3,"Quigley, Romaguera and Carroll",Female,132242,143002,157012,174158,189875,200722,214547,228020,239809,254228,112826,94111
54,409841742-1,Sawayn LLC,Female,144201,158766,170813,189586,200980,212996,224055,240489,255170,274820,168149,94114
55,789568817-0,Hessel Inc,Female,50111,59607,69564,77675,84965,91029,97053,106299,117513,127740,77920,94501
56,452532936-X,Pacocha and Sons,Male,102612,115520,127715,138966,150928,167682,181779,193143,210674,225815,119999,94062
57,813979317-5,Nicolas-Stamm,Male,155592,170986,185807,197518,211262,225954,236489,247511,267443,280855,147749,94544
58,609286672-2,"Schuppe, Daugherty and Rodriguez",Male,176499,187736,198876,210596,224562,237945,249122,267255,279692,297576,196194,94901
59,976974765-3,"Bradtke, Thompson and Borer",Male,169358,179555,191969,203059,213837,227800,247588,266143,280741,298906,161522,94502
60,090744021-5,Zboncak Inc,Female,79072,88172,96550,105534,117722,128866,143649,157093,169694,188188,98792,94510
61,127101703-2,"Bechtelar, Bechtelar and Satterfield",Female,63510,70200,77366,85279,92125,100280,111650,122905,135429,147769,90913,94621
62,490532730-X,Lubowitz-Harris,Male,167706,182116,193740,210661,223446,241575,254369,268072,280173,290761,171743,94536
63,745343228-6,Carroll-Schuster,Male,98910,104215,119186,133951,144351,154790,166586,182847,196061,213194,74887,94965
64,743933503-1,"Kuhn, Jones and Windler",Female,195565,213963,225130,239008,255300,268835,287061,303976,320820,339234,223643,94595
65,801249434-5,Dicki and Sons,Male,144566,157424,175734,187254,204877,223068,240988,252618,268929,283091,152462,94954
66,359307424-9,Reinger-Klocko,Male,179018,198778,215925,227323,244494,257091,276102,292787,308706,323398,175325,94521
67,054476575-3,Kuhic and Sons,Female,84030,92609,102453,115452,125623,136932,151599,166531,179864,193536,131495,94038
68,873113272-3,"Brekke, Hahn and Jenkins",Male,91287,96301,105981,117938,132894,146046,158553,176145,187322,206961,97515,94104
69,736692015-0,Gottlieb-Kshlerin,Female,185161,204641,221357,236499,251483,267418,281619,297293,312686,331266,225081,94954
70,041068346-9,"Senger, Hansen and Glover",Male,55278,60453,68997,74233,82294,88330,93398,100553,111101,121177,73324,94560
71,711337802-1,"Mosciski, Friesen and Feil",Female,73838,80826,88324,96497,104424,115632,128326,142093,153449,164885,90473,94066
72,082063365-8,Carter Group,Female,70853,79612,89413,97319,106221,118345,128584,138765,150080,161190,75287,94603
73,990152776-7,"Nikolaus, Dach and Koss",Male,117131,129258,139532,152483,164525,176366,192166,210338,225689,243145,121752,94613
74,303288023-8,"Lubowitz, Jacobson and Hilpert",Male,82888,90158,96191,104655,117079,129326,139838,151479,162999,174230,80392,94560
75,620206852-3,Howe Inc,Female,108750,123058,135590,150044,161601,173467,186028,198407,216095,230725,115593,94129
76,624784257-0,"Kiehn, MacGyver and O'Hara",Female,197327,212993,232377,242997,259809,275155,292955,305498,316305,328948,184677,94542
77,047973901-3,Blanda LLC,Male,195973,213231,231224,247354,263108,274895,286225,302551,322444,337093,202845,94022
78,588676851-3,"Bauch, Koss and Oberbrunner",Female,167281,179887,199438,216191,228765,242626,256569,271172,282063,297394,166791,94904
79,505944978-5,Bartoletti-Daniel,Male,175339,195192,211871,228386,238801,253467,265907,280250,299326,316977,188777,94708
80,327668167-6,"Weber, Yost and Bode",Male,109655,124219,136980,150781,168713,186413,205248,219686,233066,244311,125883,94133
81,927342027-3,McKenzie LLC,Male,73711,78853,84368,89830,98788,107526,118408,131627,143047,157059,59980,94805
82,875572794-8,Hodkiewicz-Dickens,Male,176430,186697,198629,210942,224281,239231,255646,266366,281518,295702,159572,94509
83,783032833-1,Koss Group,Male,91717,97783,106754,119826,133482,143859,156243,174824,194538,205629,69345,94709
84,014388398-4,Zemlak LLC,Male,196821,216247,233312,253162,271670,290486,306542,316568,331693,346218,222219,94552
85,105344374-9,"Lueilwitz, Kris and Jenkins",Male,126825,141617,152841,163400,178505,192119,211079,222039,241769,252431,127130,94585
86,912624553-1,Ferry-Parker,Female,65453,72700,78497,84629,91186,100719,114505,128539,140593,154617,75818,94705
87,060659320-9,Lakin-Barrows,Female,129685,141990,156885,176644,195062,214748,228600,240756,256439,273690,143323,94306
88,881816147-4,Fadel-Torp,Female,123402,134544,147127,159720,177640,188579,203039,215733,226386,240944,129286,94605
89,595225842-5,Volkman-Hessel,Female,193356,205970,220194,232463,246686,257799,276013,287668,299494,317804,175278,94578
90,019717749-2,Gleason-Turcotte,Male,113987,124647,137253,147389,158522,174729,191190,204209,216486,231434,109505,94578
91,043553924-8,Jones LLC,Male,88870,96861,104550,115865,127835,140747,153469,172468,188377,202681,56683,94569
92,104586859-0,"Wisoky, Osinski and Carroll",Female,193160,209042,221951,238078,252391,266890,280610,297709,311603,325278,205809,94402
93,545215863-4,"Volkman, Hackett and Cremin",Female,85314,91435,98395,103736,114560,127817,138973,151628,164104,178362,98905,94705
94,148226221-5,Miller-Smith,Female,107670,119420,130883,143813,158768,173382,189946,202678,212721,232211,108973,94707
95,466765732-4,"Kertzmann, Kertzmann and O'Hara",Female,54388,60848,66207,75595,80912,90641,100571,114178,126449,140155,90966,94510
96,768741272-9,"Shanahan, Streich and Abshire",Female,71634,81377,88300,94035,102647,113673,125648,136975,148974,161983,65927,94301
97,830580613-8,Runte Inc,Female,170884,187314,203938,214683,225400,235704,247871,261078,278305,292290,188969,94015
98,279776819-1,Monahan-Lockman,Male,73997,82720,90669,98194,105785,119597,133512,148162,161069,179585,101100,94070
99,396453544-3,Gorczany-Schroeder,Female,87558,94113,100889,113376,127894,140714,152109,171825,189812,206173,99515,94507
100,533390860-5,Hudson-O'Keefe,Female,105059,117180,127209,140699,152372,164891,184074,198245,209875,225443,98519,94603
101,887097937-7,"Cummerata, Jerde and Cremin",Female,129435,143832,155936,175919,189392,206687,225094,240096,258620,274988,156949,94603
102,131271895-1,"Rohan, Steuber and Kautzer",Male,172066,187736,201883,221487,231655,244325,263004,282098,301205,315089,187947,94132
103,732784053-2,Ferry Group,Male,192123,205764,218547,228775,245168,264075,283792,296498,310326,327756,207031,94536
104,915566413-X,Lueilwitz-Prosacco,Female,166565,182596,196037,212475,224956,236110,254002,271037,288121,299895,156167,94040
105,109248098-6,"Lowe, Schultz and Macejkovic",Female,107795,120067,133860,147469,157613,174040,191905,205850,222086,234928,99140,94519
106,366983443-5,Zieme-Muller,Male,67646,74158,83997,91494,100334,114830,127017,139154,150040,165258,67229,94595
107,846623820-4,Hermann Inc,Male,127590,140060,150618,161991,176792,193144,209859,227834,238706,253815,110118,94104
108,201529351-5,Emmerich LLC,Male,147561,157802,175108,187394,198414,215231,225581,241526,258794,273438,170873,94401
109,091461474-6,Kilback Inc,Female,59596,65104,74844,84477,91776,101553,112723,123735,134856,149064,106736,94538
110,465403116-2,Collins and Sons,Female,62913,71011,79842,88901,94335,103561,116877,128258,139326,152826,59713,94520
111,786375992-7,"Konopelski, Cummings and Doyle",Female,65065,73877,82436,89624,95010,103129,114779,125673,139536,150945,62081,94086
112,991430107-X,Keebler-Gerhold,Male,147527,161950,176265,188694,206668,220092,239670,251817,264894,277757,141604,94404
113,190962190-0,"Waelchi, Corkery and Swift",Female,84660,90906,97176,106070,116644,131525,143526,154890,167868,179330,99638,94521
114,895624897-4,Adams-Adams,Male,83697,92691,98841,105444,119014,133771,147243,158600,171806,189435,94577,94591
115,739525184-9,Parker-Ondricka,Male,50153,56031,63374,70938,78728,86686,93129,99882,109494,119731,50464,94571
116,400851818-5,Effertz Inc,Female,90586,97549,106320,116507,126887,137732,149709,160356,176279,190713,105723,94595
117,349250571-6,"Corwin, Thompson and Langosh",Female,141752,155220,173882,192744,211531,224453,239272,250625,264993,278987,151743,94541
118,588104505-X,Metz-Johnston,Male,106528,119306,130764,143891,158562,178503,195675,207564,217805,231012,112157,94806
119,539732292-X,Kovacek-Romaguera,Male,74160,83255,88867,95662,101559,115837,128679,138773,153467,165995,80862,94305
120,571537997-0,White-Grant,Male,132162,146696,158681,177442,190260,209057,223514,242015,253200,268192,147704,94129
121,452027092-8,Hettinger and Sons,Female,92543,98364,108215,122456,135528,147852,161968,172347,185929,200579,59829,94517
122,678779858-X,Miller-McCullough,Female,107202,120828,132858,145106,158188,169116,188029,201691,216296,232941,116046,94518
123,345318926-4,"Lubowitz, Herman and Morar",Male,192399,202456,217793,231242,244032,261458,279347,295909,315169,334596,213055,94066
124,126176072-7,Kuphal and Sons,Female,193386,211249,230952,244323,259949,277516,290822,308002,323276,342720,215627,94103
125,471220922-4,Armstrong LLC,Male,155856,168515,181062,195253,214213,233726,251568,270845,285585,300182,181967,94588
126,464368969-2,Ortiz-Grimes,Female,187704,199089,215634,230342,244894,258989,273479,291228,302230,317581,214678,94525
127,144049350-2,Leffler LLC,Female,169128,186494,202906,214766,230955,244245,263236,278352,291271,308432,201737,94801
128,255312687-5,"Borer, Strosin and Huel",Female,52114,57133,65162,74724,82558,87878,97640,106730,119303,130832,88307,94598
129,063897566-2,Ortiz-Daugherty,Female,71007,80679,89372,98377,105170,117880,131754,146285,160263,177291,103257,95620
130,233284383-3,"McCullough, Ritchie and Considine",Male,154647,171574,183359,198513,218347,237515,252401,263611,282451,301088,165452,94133
131,116718669-9,"Klein, Hermann and Gottlieb",Male,77883,83574,93341,100204,110221,123268,137268,148119,158929,171780,72474,94941
132,355907387-1,Greenfelder-Spinka,Male,103201,115222,126284,140107,151470,165911,184182,195405,210460,222890,79739,94107
133,649503361-3,Schuster-Koepp,Male,72923,80113,89133,96900,105071,116310,128401,141156,154836,172238,110168,94030
134,712028361-8,Greenfelder LLC,Male,114402,128011,138071,152140,162535,179248,193034,206119,225467,239971,108955,94578
135,142353695-9,Klocko-Kutch,Male,177754,188957,207639,218511,231348,246005,261026,276845,290819,305912,199109,94510
136,243186066-3,"Rosenbaum, Auer and Mills",Female,67979,76744,86685,96608,102505,113818,128480,138537,148590,159749,85880,94086
137,475749091-7,Doyle and Sons,Male,150388,167149,185427,204855,216445,230650,247685,260907,274446,287983,164497,94545
138,601291352-4,Howell LLC,Female,75191,82868,91529,97087,104485,115447,128566,140653,155033,171237,79489,94536
139,945040233-7,"Leffler, Farrell and Purdy",Male,64458,72819,77936,86119,93767,103120,117807,131232,145544,155935,66668,95476
140,723730606-5,Carroll-Lebsack,Male,169406,187072,204077,215537,228931,242913,255468,274394,286002,296485,166695,94122
141,501100435-X,Collier Inc,Male,185465,204362,222203,233273,249524,266186,284732,296726,311235,326724,181104,94904
142,327694730-7,Anderson-Runolfsdottir,Female,98228,107053,120090,131379,143046,156397,171461,182914,198038,208408,77925,94611
143,329464558-9,"Kris, Kassulke and Lemke",Female,53176,60562,67785,75859,82936,88886,97962,106006,117595,129006,71751,94063
144,310437441-4,Kautzer Inc,Male,118760,133027,143581,157928,176218,190899,205634,222098,235215,252102,116302,94611
145,141065012-X,"Langworth, Kemmer and Moen",Male,194292,205611,216882,230302,243577,262810,280953,292046,304607,318106,176784,94507
146,336131382-1,Spencer Group,Female,133117,147654,158680,168853,181203,193069,211308,225932,237403,255150,148699,94103
147,665171382-5,Toy Inc,Female,187803,206328,217716,233026,251334,269539,288609,303076,322476,341571,204877,94565
148,737430032-8,Wehner Group,Male,120362,130715,142211,156425,170725,188515,203388,216669,235979,246747,113102,94973
149,120916014-5,"Schneider, Berge and Emmerich",Male,148454,161287,174790,186219,198449,213682,230307,244099,260478,279903,170345,94965
150,048408666-9,"Bergstrom, Mante and Satterfield",Female,185828,203394,222275,238811,251843,266168,281230,295371,312931,327872,216286,94558
151,142176039-8,Jenkins-Corwin,Male,187803,206812,218778,229907,247504,258387,278333,292854,309051,328287,178918,94520
152,413116157-5,Auer Group,Male,142832,154429,166899,186175,199508,219055,230247,240666,254472,273567,133032,94613
153,569717240-0,"Wuckert, Rogahn and Fadel",Male,186381,204098,220620,238306,253934,268027,278645,290901,309210,327375,183974,94085
154,501480362-8,Goyette and Sons,Male,57144,65506,71154,79829,85961,91925,98519,107918,118168,130134,81159,94949
155,705563192-0,"Russel, Fay and McGlynn",Female,173683,184354,196015,210780,227007,237115,247126,259227,269807,287934,149288,94946
156,391810275-0,Heathcote-Wisoky,Male,129003,141211,152895,169428,182426,192633,204462,218943,237856,248929,135931,94541
157,375560011-0,Keebler Inc,Male,119785,133374,145581,159314,170103,187905,206642,223527,236126,248955,140312,94024
158,778445833-9,Metz and Sons,Male,195857,209707,227927,240913,259644,272487,291796,302611,315563,332176,217459,94558
159,653825014-9,"Beahan, Willms and Adams",Male,168746,187258,201018,211301,223064,236510,249573,262093,274702,290206,168196,94027
160,797103742-2,Thiel LLC,Male,193689,208945,226224,237356,257225,270383,281339,297887,315567,329330,196891,94512
161,530400777-8,Ratke Inc,Male,68352,76874,82471,90860,96915,106505,116772,129982,143220,155737,69361,94063
162,950505064-X,"Cruickshank, Friesen and Harris",Female,71185,80721,87965,96848,106709,121065,131154,143816,156344,166388,96724,94065
163,962049127-0,Waelchi Inc,Female,174716,194220,205818,224994,241873,258062,272603,284596,300956,319795,179019,94592
164,885973255-7,Bins and Sons,Male,70068,77650,85431,94361,100982,113309,127610,140164,152796,162951,68864,94720
165,016504686-4,Lebsack Group,Female,123933,137957,152036,163783,182856,194027,209065,220321,232635,251386,121109,94542
166,856022922-1,Morissette-Barton,Male,147787,159807,176797,193683,204372,217717,232404,248348,259791,270637,167585,94514
167,029539790-X,Grant Group,Male,131371,144679,157523,172731,189206,202030,219529,239049,253981,273486,134748,94560
168,844158408-7,Kub-Murazik,Female,78397,85290,90494,96006,102348,112782,123957,134921,146352,158691,89249,94105
169,367629078-X,Schinner-Lehner,Male,186991,203307,214479,232586,247496,262954,274380,285119,299647,313997,209497,94404
170,786156747-8,Labadie-Torphy,Male,79184,85950,92624,99982,109255,123705,137656,148390,163150,178332,88734,94129
171,658023839-9,Schmeler and Sons,Female,123968,138199,152145,162599,176169,195667,210312,227445,245399,258839,111275,94609
172,536203482-0,Langosh-Collins,Male,86537,92134,98239,107346,118336,130706,143105,155679,170169,186901,99988,94118
173,551667074-8,Braun-Doyle,Male,119392,132805,147423,161271,171342,185744,203811,216434,228285,240526,94197,94611
174,367369780-3,Corwin-O'Keefe,Female,192843,208149,219163,235438,252708,265432,278933,298674,315583,333290,208179,94303
175,130033404-5,"Harber, Bernier and Daniel",Male,118326,132167,146836,159729,171156,185627,197864,211979,223400,237416,107759,94945
176,191760814-4,"Hills, Herzog and Hauck",Female,147375,159304,174762,186904,203796,216537,227225,241065,260441,273941,126595,94804
177,677381723-4,"Stiedemann, Kling and Hickle",Female,62051,70445,79372,87732,97519,103387,114403,125086,136442,149096,83913,94954
178,321876589-7,"Ward, McGlynn and Schulist",Female,163084,175711,191176,204878,224815,241984,252396,270841,284054,303937,154919,94513
179,535549135-9,Shields-Labadie,Female,103685,114271,128519,139951,154544,170885,181539,198749,212840,232321,94836,94583
180,810568172-2,Ernser-Feeney,Male,59205,65213,72104,80108,85510,93548,99835,109260,120472,135350,73234,94709
181,488674564-4,Harber-Hand,Female,192485,209398,227528,244440,260374,277715,288108,303378,318511,337727,227986,94121
182,943433137-4,Boehm-Brown,Female,71882,80590,90369,97479,107395,121996,136168,147121,159321,177488,95418,94591
183,888020856-X,Fritsch Inc,Male,118176,133041,147194,158341,170561,186707,200920,213290,232625,244587,117565,94112
184,180786903-2,"Crist, Huel and Romaguera",Male,127040,139905,152623,166436,184106,202222,216912,236076,249310,260205,155235,94519
185,707779726-0,Dare LLC,Female,177845,189833,208124,226732,244800,256727,274458,289225,307848,323186,205165,94528
186,756835415-6,Runolfsdottir Group,Male,160631,174273,192002,205550,225119,243753,259418,269705,280422,291502,180120,95134
187,896476035-2,Ruecker and Sons,Female,131144,143143,155074,174982,194116,206429,221616,237041,256538,276165,163076,94709
188,501932139-7,"Conn, Konopelski and Jaskolski",Female,73832,81148,88687,93799,103528,114453,127742,139508,153106,165608,104710,94561
189,340684080-9,Swaniawski-Connelly,Female,80560,86469,95530,105527,115743,127849,138692,153285,167808,182813,84779,94960
190,596843093-1,Mitchell-Dibbert,Female,91543,98759,105987,118993,131224,143977,157246,172429,185784,203425,87520,94044
191,880805936-7,"O'Hara, Wisozk and Lueilwitz",Male,126229,139354,153537,171084,187188,202759,213032,230792,240948,251583,151136,94964
192,731465962-1,Gutmann-Ondricka,Male,160345,178820,194915,214534,226424,236999,255953,268789,279620,299243,194547,95035
193,297903461-4,Buckridge-Hayes,Female,61805,69800,76591,86236,91912,101685,111785,124195,138112,151876,70947,94525
194,907166866-5,"Kuhn, Wuckert and Mertz",Male,112659,127050,141610,155924,174588,191395,209845,220134,237973,248648,138727,94946
195,101088332-1,"Stiedemann, Barrows and Kozey",Male,192632,211648,226832,243825,256478,272569,282812,301485,315170,330827,200584,94903
196,219690359-0,Boyer-Yundt,Female,167957,187305,198343,213813,231209,244288,259485,274553,292888,304758,187311,94960
197,662035988-4,Kozey and Sons,Female,72673,81135,89003,98344,108252,118329,131549,142062,153256,168831,79840,94618
198,207465554-1,"Robel, Graham and Kemmer",Male,134557,145783,158548,178235,197252,208786,228067,245573,260040,275673,127708,94131
199,967176227-1,Schulist-Huel,Male,145690,158421,178043,197728,209808,219982,231492,242276,259959,277127,134532,94025
200,835318602-0,Koch-Rempel,Female,199560,211545,221620,238671,253024,266876,279758,292198,312079,328920,198753,94583
201,965334251-7,Kulas Group,Male,187640,205069,224887,243309,259272,269497,286077,304746,319146,336156,203622,94112
202,604051374-8,Shanahan-Bailey,Male,106669,121377,135026,149750,163839,175277,188011,202106,217096,232008,114533,94514
203,893453777-9,"Powlowski, Turner and Predovic",Female,56494,62091,71490,80759,86118,95570,102970,113892,128886,140502,87069,94592
204,750544368-2,"Stark, Ratke and Mraz",Female,120539,130921,143354,157850,177770,196425,212135,225895,239489,257953,121085,94040
205,764888565-4,Schmitt Inc,Female,139173,149470,159486,173939,193160,209743,221462,235829,252762,271852,149806,94583
206,345564623-9,Stroman Group,Female,164410,179810,193441,206718,221338,232782,243303,254371,266611,280949,136369,94601
207,045661330-7,"Schowalter, Will and Rippin",Female,189327,204838,217163,233582,244184,260650,279606,290991,304532,318866,189163,94608
208,751647703-6,"Konopelski, Cruickshank and Corwin",Female,190527,210382,220936,231265,247856,267295,281713,300442,315547,334983,225289,94565
209,478748625-X,Maggio LLC,Female,130407,141733,154688,170680,188287,204512,223216,242886,255067,269586,160059,94542
210,379002661-1,Anderson LLC,Male,50960,60192,66529,73746,81633,87048,94687,100203,112507,124027,65142,94085
211,441673352-6,"Jacobi, Considine and Heidenreich",Female,110441,125231,137077,150858,170499,180998,197639,211848,227128,241076,139043,94965
212,628788174-7,Auer Group,Female,69642,79485,85711,95370,104685,115479,128325,139482,153725,172620,108850,94706
213,784686462-9,Monahan-Maggio,Male,197416,216633,227252,239012,256789,267754,282500,295018,308213,327818,223420,94901
214,766789870-7,"Nader, O'Conner and Bartoletti",Male,199365,218144,234878,251533,270564,285358,302421,312693,329761,347281,245305,94704
215,998266155-8,"Kuhlman, Hoeger and Russel",Female,91301,96480,105539,119356,131963,142448,157320,175652,189302,206383,75391,94941
216,764287201-1,"Treutel, Ratke and Ratke",Male,147189,161139,178668,192743,203224,216747,227797,239723,252667,264853,115431,94070
217,254722911-0,Schinner Group,Male,69800,76811,84027,91862,101594,115229,129901,143741,156763,168235,87954,94611
218,451083794-1,"Adams, Graham and Hauck",Male,124226,134235,145032,158772,177061,195304,213123,227504,243014,255749,147179,94526
219,029362367-8,Kuphal LLC,Female,136316,150911,169949,182129,198124,209059,225199,243501,259531,272727,131621,94015
220,288105733-0,Dicki Inc,Female,190739,203557,223498,240722,251523,267929,279292,295038,307737,324586,176699,94111
221,831037392-9,McClure-Schaefer,Male,192425,205437,224569,239650,252561,271450,284439,304009,322311,340935,233691,94131
222,802811849-6,"Abbott, Waelchi and McDermott",Female,187549,198833,217445,227608,241086,258937,272630,283692,294975,307474,172951,94028
223,608635787-0,Leannon-Legros,Male,121900,136318,148959,161816,174013,192474,208086,221464,239636,252654,112186,94402
224,512866746-4,"Boyer, Monahan and Schimmel",Female,160089,177254,189783,200455,216006,235672,248816,261598,272037,285641,149721,94606
225,473289040-7,O'Connell LLC,Female,87804,95965,101392,115430,129910,143765,154344,170067,189476,206046,56520,94112
226,252221483-7,Hoeger Group,Male,185619,205459,221489,241120,257926,276573,286808,298447,309198,326805,184220,94545
227,961858596-4,Monahan-Harris,Female,87050,92964,100157,111913,124516,138557,150645,163775,175378,187027,116480,94903
228,887688127-1,"Labadie, Ernser and Feeney",Female,76645,83216,89826,95937,101737,113104,123152,137472,147601,158199,67389,94512
229,487654017-9,Dicki Group,Female,75005,81927,88011,93499,101031,113836,125197,137819,149605,159914,73144,94552
230,885278815-8,Parisian and Sons,Female,131057,141373,154137,170795,184332,202401,219577,233082,252969,266487,162102,94710
231,065319894-9,Homenick-Howell,Male,180357,194838,210136,225257,237165,255354,266786,277385,287625,304146,181285,94514
232,576244973-4,Mills-Schneider,Female,138662,152427,172197,183336,200950,215525,226073,240772,251521,270244,166321,94538
